business_name,category,market,phone,address,website,email,source_url,notes
Contour Medical Aesthetics,Med spa,Virginia Beach / Hampton Roads,(757) 796-8600,"523 Hilltop Plaza Suite 4, Virginia Beach, VA 23454",https://www.contourmedicalaesthetics.com,contourmedicalaesthetics.va@gmail.com,https://www.contourmedicalaesthetics.com/contact,Official contact page
Brazilian Beauty Medspa,Med spa,Virginia Beach / Hampton Roads,(757) 755-0015,"615 N Birdneck Road Suite 109, Virginia Beach, VA 23451",https://www.medspabrazilianbeauty.com,medspabrazilianbeauty@gmail.com,https://www.medspabrazilianbeauty.com/contact,Official contact page
Kaado MD Aesthetics and Anti-Aging,Med spa / anti-aging,Virginia Beach / Hampton Roads,(757) 330-3647,"1860 Laskin Road Suite 110, Virginia Beach, VA 23454",https://www.kaadomd.com,,https://www.kaadomd.com/,Official site contact section
LightRx Virginia Beach,Med spa / body contouring,Virginia Beach / Hampton Roads,(757) 654-3131,"4625 Virginia Beach Boulevard Suite 105, Virginia Beach, VA 23462",https://www.lightrx.com,,https://www.lightrx.com/locations/virginia-beach,Official location page
Grace Wellness and Med Spa,Med spa / wellness,Virginia Beach / Hampton Roads,(757) 633-8181,"372 South Independence Blvd Suite 108, Virginia Beach, VA 23452",https://www.gracewellnessmedspa.com,gracewellness2023@gmail.com,https://www.gracewellnessmedspa.com/contact,Official contact page
The Skin Chic - Shore Drive,Med spa,Virginia Beach / Hampton Roads,(757) 575-6693,"2829 Shore Dr Ste 201, Virginia Beach, VA 23451",https://theskinchic.com,theskinchic1@gmail.com,https://theskinchic.com/pages/locations,Official locations page
The Skin Chic - ViBe District,Med spa,Virginia Beach / Hampton Roads,(757) 652-5118,"700 19th St, Virginia Beach, VA 23451",https://theskinchic.com,theskinchic1@gmail.com,https://theskinchic.com/pages/locations,Official locations page
Antidote Aesthetics,Med spa / injectables / laser,Virginia Beach / Hampton Roads,(757) 995-4732,"968 First Colonial Rd #102, Virginia Beach, VA 23454",https://www.antidoteaesthetics.com,hello@antidoteaesthetics.com,https://www.antidoteaesthetics.com/,Official site contact section
Lux Laser Med Spa,Med spa / laser,Virginia Beach / Hampton Roads,(757) 697-0707,"5650 Virginia Beach Blvd Suite #104, Virginia Beach, VA 23455",https://www.luxlasermedspa.com,,https://www.luxlasermedspa.com/contact,Official contact page
Cayenne Med Spa,Med spa,Newport News / Hampton Roads,(757) 595-0020,"688 J Clyde Morris Blvd, Newport News, VA 23601",https://cayennemedspa.com,info@cayennebeauty.com,https://cayennemedspa.com/contact-us/,Official contact page
OVME Richmond River Road,Med spa,Richmond,(804) 999-6863,"6239 River Road, Richmond, VA 23229",https://ovme.com,,https://ovme.com/a/studio-locations/locations/ovme-river-road-richmond-va,Official location page
Cassie Lane,Med spa / aesthetics / wellness,Richmond,(804) 256-5115,"5805 Staples Mill Rd, Richmond, VA 23228",https://cassielane.com,,https://cassielane.com/,Official site contact section
Midlothian Dermatology,Aesthetics / dermatology,Midlothian / Richmond,(804) 378-3048,"2306 Robious Station Circle, Midlothian, VA 23113",https://www.midloderm.com,info@midloderm.com,https://www.midloderm.com/contact,Official contact page
KilGlow Aesthetics,Med spa / aesthetics,Midlothian / Richmond,(804) 538-4569,"13718 Hull Street Road Suite 125, Midlothian, VA 23112",https://www.kilglowaesthetics.com,kilglowaesthetics@gmail.com,https://www.kilglowaesthetics.com/contact,Official contact page
Synergy Face and Body by Travis Shaw MD,Med spa / facial plastic surgery,Midlothian / Richmond,(804) 796-0856,"1528 Ewing Park Loop, Midlothian, VA 23113",https://www.travisshawmd.com,,https://www.travisshawmd.com/med-spa-midlothian-va/,Official location page
Jolie Aesthetics,Med spa / HRT / weight loss,Midlothian / Richmond,(804) 924-9195,"360 Browns Hill Court Suite B, Midlothian, VA 23112",https://www.jolie-aesthetics.com,info@jolie-aesthetics.com,https://www.jolie-aesthetics.com/contact,Official contact page
Sona MedSpa of Richmond,Med spa,Midlothian / Richmond,(804) 608-8800,"6127 Harbourside Centre Loop, Midlothian, VA 23112",https://www.sonamedspa.com,,https://www.sonamedspa.com/our-locations/sona-medspa-of-richmond-midlothian/,Official location page
Glow Envy Med Spa,Med spa,Midlothian / Richmond,(804) 601-8638,"250 Wylderose Commons STE 100, Midlothian, VA 23113",https://www.glowenvymedspa.com,hello@glowenvymedspa.com,https://www.glowenvymedspa.com/contact-7,Official contact page
Haven Room,Spa / wellness / laser / Hydrafacial,Midlothian / Richmond,(804) 534-1634,"6904 Woodlake Commons Loop, Midlothian, VA 23112",https://www.haven-room.com,info@haven-room.com,https://www.haven-room.com/,Official site contact section
eluxirMD Medspa and Ketamine,Med spa / wellness,Chesapeake / Hampton Roads,(757) 807-2200,"670 Belaire Avenue, Chesapeake, VA 23320",https://eluxirmd.com,info@eluxirmd.com,https://eluxirmd.com/contact/,Official contact page
AM Aesthetics and Wellness,Med spa / wellness,Chesapeake / Hampton Roads,(757) 848-4818,"1720 Sentinel Drive 134, Chesapeake, VA 23320",https://www.amaestheticsandwellness.com,info@amaestheticsandwellness.com,https://www.amaestheticsandwellness.com/contact,Official contact page
Bayside Medspa,Med spa,Norfolk / Hampton Roads,(757) 330-5981,"6161 Kempsville Circle Suite 202, Norfolk, VA 23502",https://www.baysidemedspa.com,info@baysidemedspa.com,https://www.baysidemedspa.com/contactus,Official contact page
Medical Aesthetics of Virginia,Med spa / aesthetic treatments,Norfolk / Hampton Roads,(757) 578-9445,"316 West 21st Street, Norfolk, VA 23517",https://www.medicalaestheticsofva.com,,https://www.medicalaestheticsofva.com/contact.html,Official contact page
Chesapeake Vein Center and MedSpa,Med spa / vein clinic,Chesapeake / Hampton Roads,(757) 819-7633,"300 Medical Parkway #208, Chesapeake, VA 23320",https://chesapeakeveinandmedspa.com,,https://chesapeakeveinandmedspa.com/contact/,Official contact page
Serenity Aesthetics and Wellness,Med spa / wellness,Norfolk / Hampton Roads,(757) 849-4222,"419 W 22nd Street Suite 24, Norfolk, VA 23517",https://serenityaestheticsandwellness.com,serenity@serenityaestheticsandwellness.com,https://serenityaestheticsandwellness.com/contact/,Official contact page
Men's Wellness Centers - Richmond,Men's health / TRT / weight loss,Richmond,(804) 346-4636,"4050 Innslake Dr Suite 360, Glen Allen, VA 23060",https://menswellnesscenters.com,,https://menswellnesscenters.com/locations/richmond/,Official location page
